"cidr","hostmin","hostmax","vendor"
"15.230.39.60/31","15.230.39.60","15.230.39.61","AWS"
"15.230.39.62/31","15.230.39.62","15.230.39.63","AWS"
"15.230.39.64/31","15.230.39.64","15.230.39.65","AWS"
"15.230.39.66/31","15.230.39.66","15.230.39.67","AWS"
"15.230.39.68/31","15.230.39.68","15.230.39.69","AWS"
"15.230.39.70/31","15.230.39.70","15.230.39.71","AWS"
"15.230.39.72/31","15.230.39.72","15.230.39.73","AWS"
"15.230.39.74/31","15.230.39.74","15.230.39.75","AWS"
"15.230.39.76/31","15.230.39.76","15.230.39.77","AWS"
"15.230.39.78/31","15.230.39.78","15.230.39.79","AWS"
"15.230.39.80/31","15.230.39.80","15.230.39.81","AWS"
"15.230.39.82/31","15.230.39.82","15.230.39.83","AWS"
"15.230.39.84/31","15.230.39.84","15.230.39.85","AWS"
"15.230.39.86/31","15.230.39.86","15.230.39.87","AWS"
"15.230.39.88/31","15.230.39.88","15.230.39.89","AWS"
"15.230.39.90/31","15.230.39.90","15.230.39.91","AWS"
"15.230.39.92/31","15.230.39.92","15.230.39.93","AWS"
"15.230.39.94/31","15.230.39.94","15.230.39.95","AWS"
"15.230.39.96/31","15.230.39.96","15.230.39.97","AWS"
"15.230.39.98/31","15.230.39.98","15.230.39.99","AWS"
"15.230.39.100/31","15.230.39.100","15.230.39.101","AWS"
"15.230.39.102/31","15.230.39.102","15.230.39.103","AWS"
"15.230.39.104/31","15.230.39.104","15.230.39.105","AWS"
"15.230.39.106/31","15.230.39.106","15.230.39.107","AWS"
"15.230.39.108/31","15.230.39.108","15.230.39.109","AWS"
"15.230.39.110/31","15.230.39.110","15.230.39.111","AWS"
"15.230.39.112/31","15.230.39.112","15.230.39.113","AWS"
"15.230.39.114/31","15.230.39.114","15.230.39.115","AWS"
"15.230.39.116/31","15.230.39.116","15.230.39.117","AWS"
"15.230.39.118/31","15.230.39.118","15.230.39.119","AWS"
"15.230.39.120/31","15.230.39.120","15.230.39.121","AWS"
"15.230.39.122/31","15.230.39.122","15.230.39.123","AWS"
"15.230.39.124/31","15.230.39.124","15.230.39.125","AWS"
"15.230.39.126/31","15.230.39.126","15.230.39.127","AWS"
"15.230.39.128/31","15.230.39.128","15.230.39.129","AWS"
"15.230.39.130/31","15.230.39.130","15.230.39.131","AWS"
"15.230.39.132/31","15.230.39.132","15.230.39.133","AWS"
"15.230.39.134/31","15.230.39.134","15.230.39.135","AWS"
"15.230.39.136/31","15.230.39.136","15.230.39.137","AWS"
"15.230.39.138/31","15.230.39.138","15.230.39.139","AWS"
"15.230.39.140/31","15.230.39.140","15.230.39.141","AWS"
"15.230.39.142/31","15.230.39.142","15.230.39.143","AWS"
"15.230.39.144/31","15.230.39.144","15.230.39.145","AWS"
"15.230.39.146/31","15.230.39.146","15.230.39.147","AWS"
"15.230.39.148/31","15.230.39.148","15.230.39.149","AWS"
"15.230.39.150/31","15.230.39.150","15.230.39.151","AWS"
"15.230.39.152/31","15.230.39.152","15.230.39.153","AWS"
"15.230.39.154/31","15.230.39.154","15.230.39.155","AWS"
"15.230.39.156/31","15.230.39.156","15.230.39.157","AWS"
"15.230.39.158/31","15.230.39.158","15.230.39.159","AWS"
"15.230.39.160/31","15.230.39.160","15.230.39.161","AWS"
"15.230.39.162/31","15.230.39.162","15.230.39.163","AWS"
"15.230.39.164/31","15.230.39.164","15.230.39.165","AWS"
"15.230.39.166/31","15.230.39.166","15.230.39.167","AWS"
"15.230.39.168/31","15.230.39.168","15.230.39.169","AWS"
"15.230.39.170/31","15.230.39.170","15.230.39.171","AWS"
"15.230.39.172/31","15.230.39.172","15.230.39.173","AWS"
"15.230.39.174/31","15.230.39.174","15.230.39.175","AWS"
"15.230.39.176/31","15.230.39.176","15.230.39.177","AWS"
"15.230.39.178/31","15.230.39.178","15.230.39.179","AWS"
"15.230.39.180/31","15.230.39.180","15.230.39.181","AWS"
"15.230.39.182/31","15.230.39.182","15.230.39.183","AWS"
"15.230.39.184/31","15.230.39.184","15.230.39.185","AWS"
"15.230.39.186/31","15.230.39.186","15.230.39.187","AWS"
"15.230.39.188/31","15.230.39.188","15.230.39.189","AWS"
"15.230.39.190/31","15.230.39.190","15.230.39.191","AWS"
"15.230.39.192/31","15.230.39.192","15.230.39.193","AWS"
"15.230.39.194/31","15.230.39.194","15.230.39.195","AWS"
"15.230.39.196/31","15.230.39.196","15.230.39.197","AWS"
"15.230.39.198/31","15.230.39.198","15.230.39.199","AWS"
"15.230.39.200/31","15.230.39.200","15.230.39.201","AWS"
"15.230.39.202/31","15.230.39.202","15.230.39.203","AWS"
"15.230.39.204/31","15.230.39.204","15.230.39.205","AWS"
"15.230.39.206/31","15.230.39.206","15.230.39.207","AWS"
"15.230.39.208/31","15.230.39.208","15.230.39.209","AWS"
